Machine,StartDateTime,EndDateTime,Duration,TotalBiscuitsMade,GoodMadeBiscuits,OEE Category,Product
Biscuit Filling Machine ,7/1/2021 0:23,7/1/2021 0:25,1.88333332538605,119795,21061,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:25,7/1/2021 0:31,6.11666679382324,123671,25185,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:31,7/1/2021 0:40,9.01666641235352,123541,24851,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:40,7/1/2021 0:42,2.38333344459534,124798,26282,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:42,7/1/2021 0:43,0.866666674613953,125036,26272,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:43,7/1/2021 0:45,1.76666665077209,125796,26788,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:45,7/1/2021 0:46,0.699999988079071,125963,26904,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:46,7/1/2021 0:46,0.583333313465118,125792,27252,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:46,7/1/2021 0:47,0.633333325386047,125852,27442,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 0:47,7/1/2021 1:03,16.4166660308838,136770,38394,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/2021 0:50,7/1/2021 0:51,0.233349993824959,0,439,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/2021 0:51,7/1/2021 1:01,10.3669166564941,0,165,NO (No Order),Jammy Creams
Biscuit Boxing Machine ,7/1/2021 1:01,7/1/2021 1:02,0.666716694831848,0,101,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/2021 1:02,7/1/2021 1:03,0.816683351993561,0,488,NO (No Order),Jammy Creams
Biscuit Topping Machine ,7/1/2021 1:03,7/1/2021 1:03,0.216666668653488,0,276,CC (Changeover Cleaning),Jammy Creams
Biscuit Boxing Machine ,7/1/2021 1:03,7/1/2021 5:39,276.808959960938,0,426,CC (Changeover Cleaning),Jammy Creams
Biscuit Topping Machine ,7/1/2021 1:03,7/1/2021 5:39,276.292724609375,0,51,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:03,7/1/2021 1:05,1.73333334922791,136864,38435,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:05,7/1/2021 1:07,1.46666669845581,137646,39256,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:07,7/1/2021 1:08,1.53333330154419,137991,38985,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:08,7/1/2021 1:08,0.0333333350718021,137969,39126,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:08,7/1/2021 1:08,0.133333340287209,137936,39211,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:08,7/1/2021 1:09,1.11666667461395,138243,39529,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:09,7/1/2021 1:11,1.86666667461395,138287,39438,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:11,7/1/2021 1:11,0.0333333350718021,138307,39839,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:11,7/1/2021 1:12,0.183333337306976,138143,39882,CC (Changeover Cleaning),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:12,7/1/2021 1:12,0.0333333350718021,138449,39879,NO (No Order),Jammy Creams
Biscuit Filling Machine ,7/1/2021 1:12,7/1/2021 1:13,1.03333330154419,138653,39459,CC (Changeover Cleaning),Jammy Creams
