Machine;StartDateTime;EndDateTime;Duration;TotalBiscuitsMade;GoodMadeBiscuits;OEE Category;Product
Biscuit Filling Machine ;01/07/2021 00:23;01/07/2021 00:25;1,883333325;119795;21061;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:25;01/07/2021 00:31;6,116666794;123671;25185;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:31;01/07/2021 00:40;9,016666412;123541;24851;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:40;01/07/2021 00:42;2,383333445;124798;26282;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:42;01/07/2021 00:43;0,866666675;125036;26272;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:43;01/07/2021 00:45;1,766666651;125796;26788;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:45;01/07/2021 00:46;0,699999988;125963;26904;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:46;01/07/2021 00:46;0,583333313;125792;27252;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:46;01/07/2021 00:47;0,633333325;125852;27442;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 00:47;01/07/2021 01:03;16,41666603;136770;38394;NO (No Order);Jammy Creams
Biscuit Boxing Machine ;01/07/2021 00:50;01/07/2021 00:51;0,233349994;0;439;CC (Changeover Cleaning);Jammy Creams
Biscuit Boxing Machine ;01/07/2021 00:51;01/07/2021 01:01;10,36691666;0;165;NO (No Order);Jammy Creams
Biscuit Boxing Machine ;01/07/2021 01:01;01/07/2021 01:02;0,666716695;0;101;CC (Changeover Cleaning);Jammy Creams
Biscuit Boxing Machine ;01/07/2021 01:02;01/07/2021 01:03;0,816683352;0;488;NO (No Order);Jammy Creams
Biscuit Topping Machine ;01/07/2021 01:03;01/07/2021 01:03;0,216666669;0;276;CC (Changeover Cleaning);Jammy Creams
Biscuit Boxing Machine ;01/07/2021 01:03;01/07/2021 05:39;276,80896;0;426;CC (Changeover Cleaning);Jammy Creams
Biscuit Topping Machine ;01/07/2021 01:03;01/07/2021 05:39;276,2927246;0;51;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:03;01/07/2021 01:05;1,733333349;136864;38435;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:05;01/07/2021 01:07;1,466666698;137646;39256;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:07;01/07/2021 01:08;1,533333302;137991;38985;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:08;01/07/2021 01:08;0,033333335;137969;39126;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:08;01/07/2021 01:08;0,13333334;137936;39211;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:08;01/07/2021 01:09;1,116666675;138243;39529;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:09;01/07/2021 01:11;1,866666675;138287;39438;CC (Changeover Cleaning);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:11;01/07/2021 01:11;0,033333335;138307;39839;NO (No Order);Jammy Creams
Biscuit Filling Machine ;01/07/2021 01:11;01/07/2021 01:12;0,183333337;138143;39882;CC (Changeover Cleaning);Jammy Creams
